nama_wisata,rating,harga_tiket,kategori,google_maps
Pantai Amed,5.0,5000,Pantai,https://maps.google.com/?q=Pantai+Amed
Virgin Beach,4.7,10000,Pantai,https://maps.google.com/?q=Virgin+Beach+Karangasem
Gembleng Waterfall,4.7,20000,Air Terjun,https://maps.google.com/?q=Gembleng+Waterfall
Taman Ujung,4.6,30000,Taman Sejarah,https://maps.google.com/?q=Taman+Ujung
Tirta Gangga,4.6,45000,Taman Air,https://maps.google.com/?q=Tirta+Gangga
Bukit Asah,4.6,10000,Bukit,https://maps.google.com/?q=Bukit+Asah
Lahangan Sweet,4.6,20000,Bukit,https://maps.google.com/?q=Lahangan+Sweet
Pantai Labuan Amuk,4.5,10000,Pantai,https://maps.google.com/?q=Pantai+Labuan+Amuk
Charlie's Chocolate Factory,3.8,10000,Edukasi,https://maps.google.com/?q=Charlies+Chocolate+Factory
Pantai Candidasa,3.8,10000,Pantai,https://maps.google.com/?q=Pantai+Candidasa
